antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'previous_cancellations'}),frozenset({'stays_in_week_nights'}),0.12706532725510014,0.9244002557808536,0.1207945708451082,0.9506493506493507,1.0283958109102038,0.0033353498296157524,1.5318895539142852
frozenset({'total_of_special_requests'}),frozenset({'stays_in_weekend_nights'}),0.26496008581035085,0.46834711937127416,0.14020503723261618,0.5291553133514987,1.1298357382060034,0.016111744294972752,1.1291470323538333
frozenset({'booking_changes'}),frozenset({'stays_in_weekend_nights'}),0.12248602487675075,0.46834711937127416,0.0641308607850822,0.5235769619400472,1.1179250181850495,0.006764883870817764,1.1159260534370359
"frozenset({'stays_in_week_nights', 'total_of_special_requests'})",frozenset({'stays_in_weekend_nights'}),0.2416303966665979,0.46834711937127416,0.12120712060892345,0.5016219907802629,1.0710474561125904,0.008040220377583993,1.066766331566443
"frozenset({'stays_in_week_nights', 'booking_changes'})",frozenset({'stays_in_weekend_nights'}),0.11217228078136925,0.46834711937127416,0.05596237546154005,0.4988966531813167,1.0652284012145805,0.0034268108842800266,1.06096453756294
frozenset({'total_of_special_requests'}),"frozenset({'stays_in_weekend_nights', 'stays_in_week_nights'})",0.26496008581035085,0.40388621877513975,0.12120712060892345,0.4574542623588946,1.132631521189829,0.01419339342464429,1.0987346132635
frozenset({'booking_changes'}),"frozenset({'stays_in_weekend_nights', 'stays_in_week_nights'})",0.12248602487675075,0.40388621877513975,0.05596237546154005,0.45688784102391383,1.1312290932072686,0.006491958021271484,1.0975887233839445
"frozenset({'stays_in_weekend_nights', 'stays_in_week_nights'})",frozenset({'total_of_special_requests'}),0.40388621877513975,0.26496008581035085,0.12120712060892345,0.3001021450459653,1.1326315211898288,0.01419339342464429,1.0502102685225723
frozenset({'stays_in_weekend_nights'}),frozenset({'total_of_special_requests'}),0.46834711937127416,0.26496008581035085,0.14020503723261618,0.29936137414666375,1.1298357382060034,0.016111744294972752,1.049099902670102
frozenset({'stays_in_weekend_nights'}),"frozenset({'stays_in_week_nights', 'total_of_special_requests'})",0.46834711937127416,0.2416303966665979,0.12120712060892345,0.25879762166923587,1.0710474561125904,0.008040220377583993,1.0231613193704256
"frozenset({'stays_in_weekend_nights', 'stays_in_week_nights'})",frozenset({'booking_changes'}),0.40388621877513975,0.12248602487675075,0.05596237546154005,0.13855975485188968,1.1312290932072684,0.006491958021271484,1.0186591351700491
frozenset({'stays_in_weekend_nights'}),frozenset({'booking_changes'}),0.46834711937127416,0.12248602487675075,0.0641308607850822,0.13693019158775602,1.1179250181850495,0.006764883870817764,1.0167358034891496
frozenset({'stays_in_week_nights'}),frozenset({'previous_cancellations'}),0.9244002557808536,0.12706532725510014,0.1207945708451082,0.13067345026107913,1.0283958109102038,0.0033353498296157524,1.0041504806301644
frozenset({'stays_in_weekend_nights'}),"frozenset({'stays_in_week_nights', 'booking_changes'})",0.46834711937127416,0.11217228078136925,0.05596237546154005,0.119489099317331,1.0652284012145807,0.0034268108842800266,1.0083097421398066
